sample_id	master_id	group_id	population	region	subregion	layer	role
NA18975.DG	NA18975	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA18976.DG	NA18976	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
HG02330.DG	HG02330	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
HG02332.DG	HG02332	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
NA20805.DG	NA20805	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20806.DG	NA20806	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
HG03189.DG	HG03189	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03190.DG	HG03190	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02406.DG	HG02406	CDX	CDX	OUTGROUP	East_Asia	T0	OUTGROUP
HG02407.DG	HG02407	CDX	CDX	OUTGROUP	East_Asia	T0	OUTGROUP
HG03738.DG	HG03738	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03740.DG	HG03740	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03695.DG	HG03695	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03696.DG	HG03696	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG01303.DG	HG01303	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
HG01305.DG	HG01305	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
NA19475.DG	NA19475	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19625.DG	NA19625	ASW-oNativeAmerican	ASW-oNativeAmerican	OUTGROUP	Americas	T0	OUTGROUP
NA20534.DG	NA20534	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20535.DG	NA20535	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
HG03922.DG	HG03922	BEB	BEB	OUTGROUP	South_Asia	T0	OUTGROUP
HG03925.DG	HG03925	BEB	BEB	OUTGROUP	South_Asia	T0	OUTGROUP
NA20906.DG	NA20906	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA20908.DG	NA20908	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
HG03913.DG	HG03913	BEB	BEB	OUTGROUP	South_Asia	T0	OUTGROUP
HG03914.DG	HG03914	BEB	BEB	OUTGROUP	South_Asia	T0	OUTGROUP
HG03061.DG	HG03061	MSL	MSL	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03063.DG	HG03063	MSL	MSL	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA21086.DG	NA21086	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA21087.DG	NA21087	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA12878.DG	NA12878	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA12889.DG	NA12889	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA19771.DG	NA19771	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
NA19773.DG	NA19773	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
NA20822.DG	NA20822	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20826.DG	NA20826	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20859.DG	NA20859	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA20861.DG	NA20861	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA19036.DG	NA19036	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19037.DG	NA19037	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
HG01770.DG	HG01770	Spanish	Spanish	IBERIA	Iberia	T0	TARGET
HG01771.DG	HG01771	IBS	IBS	IBERIA	Iberia	T0	TARGET
NA19067.DG	NA19067	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA19068.DG	NA19068	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA11829.DG	NA11829	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA11830.DG	NA11830	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
HG01938.DG	HG01938	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG01939.DG	HG01939	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG01982.DG	HG01982	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG01985.DG	HG01985	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
NA11920.DG	NA11920	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA11930.DG	NA11930	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
HG00651.DG	HG00651	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG00653.DG	HG00653	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
NA07051.DG	NA07051	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA07056.DG	NA07056	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
HG02558.DG	HG02558	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
HG02561.DG	HG02561	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA21103.DG	NA21103	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA21104.DG	NA21104	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
HG00133.DG	HG00133	GBR	GBR	EUROPE_CONTROL	British_Isles	T0	CONTROL
HG00136.DG	HG00136	GBR	GBR	EUROPE_CONTROL	British_Isles	T0	CONTROL
NA07347.DG	NA07347	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA07357.DG	NA07357	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA20892.DG	NA20892	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA20894.DG	NA20894	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
HG02272.DG	HG02272	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG02274.DG	HG02274	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG03488.DG	HG03488	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
HG03490.DG	HG03490	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
